Kod;Numer;X;Y;Adres;Strefa;stan;
11100501;E240062;21.00155962;52.24944222;ul. Świętojerska;0;brak;0
11101329;11101329;21.02544693;52.22396709;ul. Piękna 1a;jest na zero;brak;jest na zero
11101401;11101401;21.03649692;52.23664896;ul. Wybrzeże Kościuszkowskie;jest na zero;brak;jest na zero
11101402;11101402;21.0351149;52.23591192;ul. Wyb. Kościuszk. 17;jest na zero;brak;jest na zero
11101405;11101405;21.03427373;52.2352968;ul Potockiego 4;jest na zero;brak;jest na zero
11101409;11101409;21.03511239;52.23448003;al. 3 Maja 3;jest na zero;brak;jest na zero
11101410;11101410;21.03641495;52.23448003;ul. Wioślarska;jest na zero;brak;jest na zero
11101423;11101423;21.03272287;52.23084885;ul. Orłowicza 10;jest na zero;brak;jest na zero
11101426;11101426;21.03974996;52.23045959;ul. Wilanowska 5;adapter;brak;adapter
11101427;11101427;21.03164489;52.23010607;ul. Ludna / Czerniakowska;jest na zero;brak;jest na zero
11101428;11101428;21.03864423;52.22990234;ul. Wilanowska / al. Zgrup. AK;adapter;brak;adapter
11101430;11101430;21.03128557;52.22963289;ul. Rozbrat;jest na zero;brak;jest na zero
11101433;11101433;21.0364902;52.22882274;ul. Wilanowska;jest na zero;brak;jest na zero
11101504;11101504;21.00907323;52.22220263;ul. Noakowskiego 24;jest na zero;brak;jest na zero
11101508;11101508;21.014592;52.22118016;ul. Śniadeckich 1/15;jest na zero;brak;jest na zero
11101511;11101511;21.01234761;52.2206758;ul. Lwowska 2;jest na zero;brak;jest na zero
11101614;11101614;21.02027566;52.221735;ul. Koszykowa 5/27;jest na zero;brak;jest na zero
11101628;11101628;21.02148054;52.21984583;al. Wyzwolenia 10;jest na zero;brak;jest na zero
11101634;11101634;21.01729693;52.21915257;ul. Mokotowska 15;jest na zero;brak;jest na zero
11101637;11101637;21.01694865;52.21828901;ul. Mokotowska 4/6;jest na zero;brak;jest na zero
11101705;11101705;21.0382537;52.22704104;ul. Czerniakowska 203;jest na zero;brak;jest na zero
11101709;11101709;21.03645987;52.22625443;ul. Koźmińska 18;adapter;brak;adapter
11101712;11101712;21.0394243;52.22570967;ul. Górnośląska 2;jest na zero;brak;jest na zero
11101725;11101725;21.03512386;52.22335784;ul. Rozbrat;jest na zero;brak;jest na zero
11101736;11101736;21.04416741;52.21604046;ul. Szwoleżerów 1;jest na zero;brak;jest na zero
11101803;11101803;21.02372623;52.21695989;al. Szucha 16;jest na zero;brak;jest na zero
11101808;11101808;21.02276986;52.21577288;al. J.C. Szucha 13/15;jest na zero;brak;jest na zero
11101811;11101811;21.02230957;52.21448236;al. J. C.Szucha 2/4;adapter;brak;adapter
11101817;11101817;21.02236538;52.21309342;ul. Klonowa 20;jest na zero;brak;jest na zero
15040104;15040104;21.02328812;52.20958571;ul. Chocimska 15;jest na zero;brak;jest na zero
15040109;15040109;21.02121046;52.20882567;ul. Olszewska 15;jest na zero;brak;jest na zero
15040123;15040123;21.02198768;52.20694944;ul. Puławska 24;Wycięte szpilki;brak;Wycięte szpilki
15040129;15040129;21.02155609;52.2052644;ul. Madalińskiego 3/5;jest na zero;brak;jest na zero
15040136;15040136;21.02336843;52.20439084;ul. Puławska 53;jest na zero;brak;jest na zero
15040145;15040145;21.02295112;52.20345643;ul. Puławska / Różana 1;jest na zero;brak;jest na zero
15040146;15040146;21.02353905;52.20351401;ul. Puławska / Morskie Oko;jest na zero;brak;jest na zero
15040147;15040147;21.02230031;52.20273776;ul. Dąbrowskiego vis-a-vis 3;jest na zero;brak;jest na zero
15040156;15040156;21.02337108;52.20075933;ul. Puławska 62/64;jest na zero;brak;jest na zero
15040234;15040234;21.02007213;52.20446863;ul. Olesińska 10A;jest na zero;brak;jest na zero
15101801;15101801;21.02144351;52.21296989;ul. Puławska 1A;jest na zero;brak;jest na zero
15101804;15101804;21.02284232;52.21252364;ul. Klonowa vis-a-vis 16;jest na zero;brak;jest na zero
15101805;15101805;21.02099426;52.21220158;ul. Puławska 5;adapter;brak;adapter
16050102;16050102;20.98491166;52.22363468;Al. Jerozolimskie 133;jest na zero;brak;jest na zero
16050108;16050108;20.9833995;52.22280791;ul. Spiska / Al. Jerozolimskie 135;jest na zero;brak;jest na zero
